key,de-DE,en-US,it-IT,es-ES
custom.data.type.ubhdgnd.config.option.mask.editor_style.value.inline,Eingebettet,Embeded,,
custom.data.type.ubhdgnd.config.option.mask.editor_style.value.popover,Popover,Popover,,
custom.data.type.ubhdgnd.config.option.mask.show_infopopup.value.false,"""Kein Infopopup""","""No infopopup""",,
custom.data.type.ubhdgnd.config.option.mask.show_infopopup.value.true,"""Mit Infopopup""","""With infopopup""",,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.AdministrativeUnit,AdministrativeUnit,AdministrativeUnit,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.ALLE,Alle durchsuchen,Browse all,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.BuildingOrMemorial,BuildingOrMemorial,BuildingOrMemorial,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.CharactersOrMorphemes,CharactersOrMorphemes,CharactersOrMorphemes,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.CollectivePseudonym,CollectivePseudonym,CollectivePseudonym,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.Country,Country,Country,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.EthnographicName,EthnographicName,EthnographicName,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.ExtraterrestrialTerritory,ExtraterrestrialTerritory,ExtraterrestrialTerritory,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.FictiveCorporateBody,FictiveCorporateBody,FictiveCorporateBody,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.FictivePlace,FictivePlace,FictivePlace,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.FictiveTerm,FictiveTerm,FictiveTerm,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.Gods,Gods,Gods,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.GroupOfPersons,GroupOfPersons,GroupOfPersons,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.HistoricSingleEventOrEra,HistoricSingleEventOrEra,HistoricSingleEventOrEra,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.Language,Language,Language,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.LiteraryOrLegendaryCharacter,LiteraryOrLegendaryCharacter,LiteraryOrLegendaryCharacter,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.MeansOfTransportWithIndividual_name,MeansOfTransportWithIndividual_name,MeansOfTransportWithIndividual_name,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.MeansOfTransportWithIndividualName,MeansOfTransportWithIndividualName,MeansOfTransportWithIndividualName,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.MemberState,MemberState,MemberState,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit,NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit,NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.NaturalGeographicUnit,NaturalGeographicUnit,NaturalGeographicUnit,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.NomenclatureInBiologyOrChemistry,NomenclatureInBiologyOrChemistry,NomenclatureInBiologyOrChemistry,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.OrganOfCorporateBody,OrganOfCorporateBody,OrganOfCorporateBody,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.ProductNameOrBrandName,ProductNameOrBrandName,ProductNameOrBrandName,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.ProjectOrProgram,ProjectOrProgram,ProjectOrProgram,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.Pseudonym,Pseudonym,Pseudonym,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.ReligiousTerritory,ReligiousTerritory,ReligiousTerritory,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.RoyalOrMemberOfARoyalHouse,RoyalOrMemberOfARoyalHouse,RoyalOrMemberOfARoyalHouse,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.SoftwareProduct,SoftwareProduct,SoftwareProduct,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.Spirits,Spirits,Spirits,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.SubjectHeadingSensoStricto,SubjectHeadingSensoStricto,SubjectHeadingSensoStricto,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.TerritorialCorporateBodyOrAdministrativeUnit,TerritorialCorporateBodyOrAdministrativeUnit,TerritorialCorporateBodyOrAdministrativeUnit,,
custom.data.type.ubhdgnd.config.option.schema.exact_types.value.WayBorderOrLine,WayBorderOrLine,WayBorderOrLine,,
custom.data.type.ubhdgnd.config.parameter.schema.exact_types.value.label,Auf Subklasse beschränken,Limit to subclass,,
custom.data.type.ubhdgnd.edit.modal.title|text,UBHD-GND-Verknüpfung,UBHD-GND-node,,
custom.data.type.ubhdgnd.edit.no_gnd,Keine UBHD-GND-Verknüpfung gesetzt,No valid UBHD-GND-node,,
custom.data.type.ubhdgnd.edit.no_valid_gnd,Keine valide UBHD-GND-Verknüpfung,No valid UBHD-GND-node,,
custom.data.type.ubhdgnd.modal.form.text.count,Anzahl Vorschläge,Count suggestions,,
custom.data.type.ubhdgnd.modal.form.text.label,Text,Text,,
custom.data.type.ubhdgnd.modal.form.text.result.label,Gewählter Eintrag,Selected entry,,
custom.data.type.ubhdgnd.modal.form.text.result.placeholder,noch leer,empty,,
custom.data.type.ubhdgnd.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query,,
custom.data.type.ubhdgnd.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...,,
custom.data.type.ubhdgnd.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type,,
custom.data.type.ubhdgnd.modal.form.text.uri.label,Zugehörige URI,Related URI,,
custom.data.type.ubhdgnd.modal.form.text.uri.label.placeholder,noch leer,empty,,
custom.data.type.ubhdgnd.modal.form.url.placeholder,UBHD-GND-Verknüpfung,UBHD-GND-node,,
custom.data.type.ubhdgnd.name,UBHD-GND-Verknüpfung,UBHD-GND-node,,
custom.data.type.ubhdgnd.config.parameter.mask.editor_style,Editor-Stil,Editor style,,
custom.data.type.ubhdgnd.config.parameter.mask.show_infopopup.value.label,Infopopup,Infopopup,,
custom.data.type.ubhdgnd.config.parameter.mask.show_infopopup.value.checkbox,"Zeige, wenn möglich, erweiterte UBHD-GND-Informationen. Diese werden zur Ansicht geladen, sobald die Maus über einen Eintrag in der Vorschlagsliste bewegt wird.","If availabl, extended UBHD-GND-information will be displayed by moving the mouse on a suggestion.",,
custom.data.type.ubhdgnd.config.parameter.schema.add_coorporates.value.label,Durchsuche,Search,,
custom.data.type.ubhdgnd.config.parameter.schema.add_differentiatedpersons.value.label,Durchsuche,Search,,
custom.data.type.ubhdgnd.config.parameter.schema.add_geographicplaces.value.label,Durchsuche,Search,,
custom.data.type.ubhdgnd.config.parameter.schema.add_subjects.value.label,Durchsuche,Search,,
custom.data.type.ubhdgnd.config.parameter.schema.add_coorporates.value.checkbox,Körperschaften,Corporate bodies,,
custom.data.type.ubhdgnd.config.parameter.schema.add_differentiatedpersons.value.checkbox,Individualisierte Personen,Differentiated persons,,
custom.data.type.ubhdgnd.config.parameter.schema.add_geographicplaces.value.checkbox,Geografika,Places or geographic names,,
custom.data.type.ubhdgnd.config.parameter.schema.add_subjects.value.checkbox,Sachbegriffe,Subjects,,
custom.data.type.ubhdgnd.url.tooltip,zu **%(name)s** bei der Deutschen Nationalbibliothek springen,jump to **%(name)s** at German National Library (DNB),,
custom.data.type.ubhdgnd.config.parameter.schema.authorities_backend.value.label,Normdaten-Backend,Authorities server,,
custom.data.type.ubhdgnd.config.option.schema.authorities_backend.value.ubhd/gnd,UB Heidelberg,,,
custom.data.type.ubhdgnd.config.option.schema.authorities_backend.value.gbv/gnd,GBV,,,

